country,year,party_id,party,vote,seat,epvote,family,eu_position,eu_intmark,eu_foreign,lrgen,lrecon,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,urban_rural,environment,regions,ethnic_minorities,nationalism,russian_interference,anti_islam_rhetoric
24,2024,2410,Saskana,4.86,0.0,7.21,5,4.8400002,5.8333335,4.6666665,3.2857144,3.28,4.2222223,5.2857141,2.9375,5.3333335,3.89583335,4.125,5.0588236,3.0,3.5714285,4.4285712,3.2857144,0.90909094,4.181818,7.5714288,2.3636363
24,2024,2412,V,19.16,26.0,25.370001,3,6.8333335,6.5714288,6.1666665,5.9545455,6.1199999,4.8000002,4.25,5.7222223,5.1999998,2.4027778,3.4285715,5.7142859,6.2105265,3.7142856,3.25,6.2727275,5.0,5.9000001,0.42857143,1.0
24,2024,2414,AS,11.14,15.0,8.2700005,8,5.5833335,5.1428571,4.6666665,6.1428571,5.9166665,4.8000002,5.5,5.8823528,6.6666665,4.9375,4.1428571,6.7894735,7.647059,6.1428571,4.125,3.5999999,6.0999999,7.090909,0.33333334,3.0
24,2024,2417,AP!,5.03,0.0,9.46,3,6.7199998,7.0,6.0,5.181818,5.7199998,4.6666665,5.0,4.8235292,3.4285715,2.1666667,3.0,3.6666667,4.2222223,3.3333333,4.1111112,6.125,4.0,2.9000001,0.71428573,1.5
24,2024,2418,S!,6.88,11.0,2.0,8,3.0,4.3333335,3.3333333,4.25,3.3913043,6.0,5.1999998,4.0,5.625,5.1875,4.4285712,6.3571429,3.2727273,3.5714285,5.1999998,3.5714285,1.1818181,5.090909,9.166667,2.3333333
24,2024,2419,LPV,6.31,9.0,6.23,9,3.5,5.1428571,2.8333333,6.6842103,6.0869565,7.1111112,6.5714288,6.6666665,6.6666665,6.7430556,7.75,6.625,4.5,4.8571429,5.8571429,5.6666665,3.0,6.1999998,7.8000002,3.7777777
24,2024,2420,Progresivie,6.23,10.0,7.5300002,7,6.8800001,6.4285712,6.5,2.6818182,2.72,2.6666667,3.5555556,2.1052632,3.0,1.166666625,2.5,2.5714285,3.1500001,3.2857144,2.1111112,6.0,3.4545455,1.9090909,0.85714287,1.75
25,2024,2501,LSDP,19.32,36.87943262411347,17.98,5,6.5789475,6.0,5.1999998,3.7058823,3.6111112,2.8888888,3.5999999,3.0714285,4.1666665,3.8125,2.625,5.1875,5.3846154,5.875,4.7142859,5.0,4.3333335,5.4000001,2.0,3.3333333
25,2024,2506,TS-LKD,18.0,19.8581560283688,21.33,2,6.7894735,6.0,4.8000002,6.4705882,5.8333335,3.6666667,5.5999999,5.0,4.8333335,3.52678575,6.0,5.4375,5.7857141,3.7777777,4.3333335,5.5,3.75,5.4000001,0.40000001,4.3333335
25,2024,2507,LVZS,7.02,5.673758865248227,9.1300001,11,5.0555553,6.0,2.75,6.4166665,3.8823528,4.625,4.1999998,4.3333335,6.5,7.4375,6.5,7.0666666,7.4166665,8.8888893,7.0,6.3333335,6.5,8.1999998,3.5,3.3333333
25,2024,2511,LLRA,3.88,2.127659574468085,5.7800002,8,4.4210525,6.0,2.6666667,7.0666666,3.4666667,3.625,4.6666665,3.8888888,6.5999999,8.1875,8.5,7.0,6.6999998,8.25,5.5,5.0,0.60000002,7.8000002,5.25,4.0
25,2024,2518,LS,7.7,8.51063829787234,5.4200001,3,6.7894735,5.5,5.0,6.5625,7.6666665,7.0,8.1999998,7.3571429,3.1666667,1.8125,2.125,4.0,4.3846154,3.7777777,3.8571429,2.6666667,3.6666667,4.0,0.80000001,3.6666667
25,2024,2524,Laisvės,4.62,0.0,8.1000004,3,6.7894735,6.0,5.0,6.2666669,8.0555553,7.3333335,8.3999996,8.0714283,2.0,0.625,1.125,3.3125,3.2857144,1.5555556,2.1428571,2.6666667,2.0,3.4000001,0.80000001,3.0
25,2024,2525,PPNA,14.97,14.18439716312057,,9,4.2941175,6.0,2.25,7.8000002,4.1428571,4.5714288,3.5,3.6363637,6.8333335,7.2142856,6.0,8.1999998,7.8333335,8.1111107,6.1999998,5.3333335,6.6666665,7.5,5.25,3.6666667
25,2024,2526,DSVL,9.22,9.929078014184398,5.9499998,7,6.3157897,5.5,4.75,4.5882354,4.6666665,4.1111112,4.75,4.3076925,5.1666665,4.5625,4.125,5.6666665,5.6153846,5.2222223,4.4000001,5.6666665,4.5,5.25,1.6,3.3333333
25,2024,2527,NS,2.87,0.7092198581560284,3.79,1,3.4444444,6.0,1.6,8.6875,4.375,4.3333335,3.5,3.909091,7.6666665,7.875,8.1428576,9.0,9.5,6.125,5.8000002,4.6666665,8.0,9.1999998,1.75,6.0
25,2024,2528,PLT,0.77,0.7092198581560284,1.25,3,5.1875,6.0,3.5,6.0714288,5.7857141,5.5,5.5,5.4000001,4.5999999,4.54166675,4.5,6.4545455,5.75,4.25,5.0,4.6666665,4.0,5.3333335,1.5,5.0
26,2024,2601,Nowa Lewica,5.55,4.130434782608695,5.0,5,6.8965516,5.8888888,5.7777777,2.4074075,2.3214285,1.9230769,3.3846154,2.3703704,2.0666666,0.700000015,1.2,3.1481481,3.0833333,3.0999999,1.8571428,3.0,1.6,1.5625,3.2857144,1.0
26,2024,2603,PO,30.7,34.1304347826087,37.099998,4,6.6333332,6.4000001,4.8000002,4.9285712,6.1724138,5.4615383,6.7142859,5.3928571,3.125,2.8916666500000003,3.7,7.0,5.9583335,2.090909,3.5714285,3.5714285,3.2,3.5625,2.1428571,2.6666667
26,2024,2605,PiS,35.4,42.17391304347827,36.200001,1,3.0999999,4.4000001,1.4,7.6428571,2.5172415,3.6923077,3.7142856,2.6071429,8.3125,8.516666650000001,8.3000002,8.75,9.1599998,7.090909,7.7142859,7.9285712,8.125,9.0625,2.1428571,7.0999999
26,2024,2606,PSL,14.4,6.956521739130435,3.1199999,11,5.3793101,5.1111112,3.0999999,6.5357141,4.1724138,5.1666665,3.6923077,3.8518519,5.5999999,6.8030305,6.9000001,7.2962961,7.6086955,8.363636,5.5,4.1428571,6.0714288,6.75,2.7142856,3.4444444
26,2024,2619,Konfederacja,7.2,3.91304347826087,12.1,1,1.5172414,4.625,1.3,9.3928576,8.9642859,9.3846149,8.4615383,8.666667,7.875,9.240259649999999,7.6999998,9.8148146,9.695652,4.5999999,8.8571424,7.7777777,9.666667,9.8125,5.5714288,9.0
26,2024,2620,Razem,2.1,1.521739130434783,1.3,6,6.4444447,4.8571429,5.25,1.0384616,0.85185188,0.5,2.0769231,0.95999998,1.0666667,0.7333333449999999,0.55555558,1.8076923,1.875,2.25,1.4285715,2.9166667,1.0666667,0.875,4.0,0.875
26,2024,2623,Polska 2050,7.2,7.173913043478261,2.5999999,3,6.3103447,6.1111112,5.0,5.5925927,6.3214288,5.9230771,6.1538463,5.2692308,3.7333333,3.9848486000000003,5.5,5.6666665,5.7727275,3.4000001,3.6428571,3.4166667,4.1428571,4.0625,2.8571429,2.0
